index,time,S:London__all,S:Eyam__all,I:London__all,I:Eyam__all,obs_mean:Eyam__Kendall__inc,obs_mean:London__Creighton__inc,obs_real:Eyam__Kendall__inc,obs_real:London__Creighton__inc
154,184,376838,115,37,1,21.6,490.5,20.0295,468.599
154,153,372405,139,207,0,25.2,3252.6,32.8438,2968
154,123,376193,169,1197,2,79.2,13279.5,76.7616,11130.8
154,92,391894,227,4111,9,69.3,23859.9,72.914,21941.5
154,61,416201,314,5497,1,27.9,22036.5,36.0291,18008.6
154,31,443158,346,3694,0,3.6,11833.2,3.49147,9455.33
154,0,458445,347,1555,3,0,0,0,0
155,245,379651,347,0,0,0,0,0,0
155,214,379651,347,0,0,0,22.5,0,22.53
155,184,378602,347,25,0,0,524.7,0,567.6
155,153,380253,347,181,0,0,3016.8,0,2733.72
155,123,380907,347,1425,0,0,14216.4,0,14546.6
155,92,391001,347,4579,0,0,26011.8,0,26434.7
155,61,421366,347,5500,0,0,19301.4,0,23892.6
155,31,444832,347,3135,0,2.7,10829.7,2.4708,11085.8
155,0,458448,347,1552,3,0,0,0,0
156,245,370296,346,0,0,0,0.9,0,0.784685
156,214,370296,346,1,0,0,28.8,0,24.1278
156,184,370229,346,33,0,0,551.7,0,552.313
156,153,379207,347,232,0,0,3127.5,0,3621.91
156,123,380475,347,1224,0,0,13545.9,0,13225.7
156,92,393781,347,3376,0,0,24342.3,0,28208.4
156,61,418663,346,5358,0,0,21446.1,0,19423
156,31,444665,346,3185,0,3.6,10935,3.92721,10062.7
156,0,458446,347,1554,3,0,0,0,0
157,245,361309,58,0,0,10.8,3.6,11.3534,4.03386
157,214,361168,66,0,0,0.9,27,0.414965,30.441
157,184,361397,77,11,0,16.2,516.6,15.2689,481.404
157,153,365242,116,247,6,21.6,3297.6,22.3296,3362.62
157,123,369224,137,1182,14,66.6,12878.1,67.4572,12468.8
157,92,380636,204,4453,9,71.1,27890.1,74.4049,28443.5
157,61,409374,271,6704,21,46.8,26521.2,53.5525,26758.7
157,31,444236,344,3325,0,5.4,11195.1,4.99994,11799.7
157,0,458442,347,1558,3,0,0,0,0
158,245,373069,88,0,0,9,0,8.97815,0
158,214,373053,98,6,0,0.9,31.5,0.608513,25.8726
158,184,368282,122,29,0,15.3,449.1,10.5137,494.75
158,153,369128,152,181,0,21.6,3312,21.2448,2722.19
158,123,375811,139,1461,10,99,14161.5,89.252,13968.7
158,92,387660,251,4622,11,56.7,26476.2,59.1025,21857
158,61,416038,310,5481,11,21.6,22980.6,22.7443,18976.7
158,31,439676,346,4554,0,3.6,14193,3.2719,14464.7
158,0,458441,347,1559,3,0,0,0,0
159,245,377955,345,0,0,0,0,0,0
159,214,377955,345,0,0,0,31.5,0,38.6331
159,184,379644,345,45,0,0,525.6,0,516.636
159,153,375306,345,188,0,0,2945.7,0,3177.5
159,123,377220,345,1354,0,0,13876.2,0,11157
159,92,391001,345,3978,0,0,25970.4,0,28406.1
159,61,420710,345,5137,0,0,19988.1,0,18139.9
159,31,444637,345,3419,0,4.5,10749.6,2.98413,12207.8
159,0,458442,347,1558,3,0,0,0,0
160,245,362223,92,3,0,0,10.8,0,12.1951
160,214,356830,83,3,0,0.9,32.4,0.927867,34.1361
160,184,359909,110,10,2,20.7,531,22.022,532.521
160,153,361961,138,180,0,24.3,3186,25.7633,2884.86
160,123,367628,156,1423,3,72.9,14292.9,59.6394,15470.1
160,92,378940,215,4536,20,64.8,30311.1,67.6481,29385.1
160,61,410308,295,7232,9,36,25902.9,34.7772,27594.1
160,31,442279,346,3931,0,3.6,12411,4.53859,11902.9
160,0,458439,347,1561,3,0,0,0,0
161,245,363736,135,0,0,0,2.7,0,1.97936
161,214,363738,135,3,0,0.9,45,0.643692,55.8424
161,184,363762,135,29,1,18,518.4,16.4947,551.07
161,153,362231,110,189,3,27,3227.4,32.0525,2911.03
161,123,366662,165,1405,12,90,15399,90.559,14110.3
161,92,380161,260,5016,17,47.7,29479.5,54.7117,32375.9
161,61,411258,328,6674,2,10.8,25379.1,12.3809,26685.7
161,31,443076,345,3737,0,4.5,11868.3,3.33445,13516.7
161,0,458436,347,1564,3,0,0,0,0
162,245,363219,102,7,0,0,36,0,33.4456
162,214,363276,116,0,0,1.8,29.7,1.62599,37.4167
162,184,360135,109,24,0,24.3,505.8,25.0242,516.743
162,153,365658,150,197,0,18,3238.2,15.3555,3404.85
162,123,366045,140,1508,11,82.8,15183,89.497,14782.1
162,92,380876,232,4806,14,57.6,28115.1,53.6321,28221.4
162,61,410660,301,6261,9,32.4,25168.5,34.0661,23703.5
162,31,442697,347,3871,0,2.7,12088.8,2.09132,13305.3
162,0,458444,347,1556,3,0,0,0,0
163,245,352380,88,0,0,10.8,1.8,13.2755,1.58201
163,214,350309,72,2,0,0.9,14.4,1.09444,12.7979
163,184,352417,102,24,1,25.2,541.8,26.0292,598.936
163,153,352016,115,231,0,20.7,3472.2,22.0775,3265.12
163,123,352926,120,1463,25,78.3,16921.8,74.4441,16990.3
