index,S:London__all,S:Eyam__all,r0:London__all,r0:Eyam__all,e:all,d:all,mu_d:all,sto:London__all,sto:Eyam__all,rep:London__Creighton__inc,rep:Eyam__Kendall__inc,phi:all,log_like
81,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
82,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
83,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
84,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
85,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
86,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
87,0.996347,0.996114,0.910356,1.33948,0.455243,0.246831,6.70136,0,0,0.349276,0.9,0.1,-88.1182
88,0.996347,0.996114,0.910356,1.33948,0.455243,0.246831,6.70136,0,0,0.349276,0.9,0.1,-88.1182
89,0.996347,0.996114,0.910356,1.33948,0.455243,0.246831,6.70136,0,0,0.349276,0.9,0.1,-88.1182
90,0.996347,0.996114,0.910356,1.33948,0.455243,0.246831,6.70136,0,0,0.349276,0.9,0.1,-88.1182
91,0.996072,0.995809,0.892769,1.31104,0.467554,0.239019,6.82063,0,0,0.357771,0.9,0.1,-87.5649
92,0.996072,0.995809,0.892769,1.31104,0.467554,0.239019,6.82063,0,0,0.357771,0.9,0.1,-87.5649
93,0.996072,0.995809,0.892769,1.31104,0.467554,0.239019,6.82063,0,0,0.357771,0.9,0.1,-87.5649
94,0.996072,0.995809,0.892769,1.31104,0.467554,0.239019,6.82063,0,0,0.357771,0.9,0.1,-87.5649
95,0.996051,0.996304,0.880302,1.27675,0.465038,0.233567,6.78792,0,0,0.379958,0.9,0.1,-88.6539
96,0.996478,0.996103,0.880119,1.25721,0.467898,0.232444,6.77304,0,0,0.395707,0.9,0.1,-87.9478
97,0.996478,0.996103,0.880119,1.25721,0.467898,0.232444,6.77304,0,0,0.395707,0.9,0.1,-87.9478
